ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Tee Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Chinatown; 139 Centre St, New York, NY 10013; (347) 460-7234
David Salvage, M.D.; Psychiatrists, Counseling & Mental Health; 5.0 star rating; 2 reviews; Chinatown, TriBeCa, Civic Center; 291 Broadway, New York, NY 10007; (212) 431-1510
Acupuncture By Jessica; Acupuncture; 5.0 star rating; 5 reviews; TriBeCa, Civic Center, Financial District; 222 E 31st St, New York, NY 10016; (347) 389-4947
David Salvage, M.D.; Psychiatrists, Counseling & Mental Health; 5.0 star rating; 2 reviews; Chinatown, TriBeCa, Civic Center; 291 Broadway, New York, NY 10007; (212) 431-1510
TriBeCa Therapy; Counseling & Mental Health; 4.0 star rating; 6 reviews; TriBeCa, Civic Center; 79 Chambers, New York, NY 10007; (212) 571-5799
The Yoga Wellness Space; Yoga, Counseling & Mental Health, Meditation Centers; 5.0 star rating; 3 reviews; Chinatown, Civic Center; New York, NY; (732) 907-9642
David Shafer, MD- Shafer Plastic Surgery; Cosmetic Surgeons; 5.0 star rating; 1 review; TriBeCa, Civic Center; 10 E 53rd St, New York, NY 10028; (212) 888-7770
Youngmo Kang, DDS, PC; General Dentistry, Cosmetic Dentists; 5.0 star rating; 5 reviews; TriBeCa, Civic Center; 23 Warren St, Ste 10, New York, NY 10007; (917) 868-1552
Michael Biamonte, CCN; Doctors, Nutritionists; 3.0 star rating; 7 reviews; Chinatown, TriBeCa, Civic Center; 291 Broadway, New York, NY 10007; (212) 587-2330
Lin Sister Herb Shop; Acupuncture; 4.5 star rating; 44 reviews; Chinatown, Civic Center; 4 Bowery, New York, NY 10013; (212) 962-5417
Paula Jorn, PsyD; Counseling & Mental Health; 0; 0; Chinatown, Civic Center; 310 E 44th St, New  York, NY 10016; (732) 822-0425
Ryan-NENA Community Heath Center; Medical Centers, General Dentistry; 3.0 star rating; 12 reviews; East Village, Alphabet City; 279 E 3rd St., NY, NY 10009; (212) 477-8500
The Biamonte Center; Medical Centers, Naturopathic/Holistic; 0; 0; Chinatown, TriBeCa, Civic Center; 291 Broadway Suite 1002, New York, NY 10007; (212) 587-2330
Dave Ores, MD; Doctors; 4.0 star rating; 14 reviews; East Village, Alphabet City; 189 E 2nd St, New York, NY 10009; (212) 353-3020
East Village Podiatry; Podiatrists; 0; 0; East Village, Alphabet City; 645 East 11th St, New York, NY 10009; (929) 445-4483
Cara Muhlhahn Midwifery; Midwives; 5.0 star rating; 2 reviews; East Village, Alphabet City; 646 E 11th St, New York, NY 10009; (212) 388-1837
New Herbal World; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 6 reviews; Stuyvesant Town, East Village, Alphabet City; 442 E 14th St, New York, NY 10009; (212) 254-5287
Family Dental Center; General Dentistry; 2.0 star rating; 4 reviews; East Village, Alphabet City; 15 Avenue A, New York, NY 10009; (212) 677-2510
Roberto Clemente Clinic II; null; 0; 0; East Village, Alphabet City; 215 Avenue B, New York, NY 10009; (212) 387-7500
Bellevue Offsite; null; 0; 0; East Village, Alphabet City; 371 E 10th St, New York, NY 10009; (212) 529-1653
Medhattan Immediate Medical Care; Urgent Care, Medical Centers, Family Practice; 4.0 star rating; 82 reviews; Financial District; 106 Liberty St, New York, NY 10006; (646) 461-2544
Wall Street Chiropractic and Wellness - Dr. Nicolai; Chiropractors, Acupuncture, Massage Therapy; 5.0 star rating; 41 reviews; Financial District; 111 Broadway, New York, NY 10006; (212) 747-0047
Schweiger Dermatology; Dermatologists; 5.0 star rating; 8 reviews; Financial District; 65 Broadway, New York, NY 10006; (212) 203-7696
Recovery Physical Therapy; Physical Therapy; 4.5 star rating; 17 reviews; Financial District; 30 Wall St, New York, NY 10005; (212) 514-6499
One Medical Group; Internal Medicine, Urgent Care; 4.0 star rating; 28 reviews; Financial District; 30 Broad St, New York, NY 10004; (212) 530-0630
Carrie Bowler, DO; Internal Medicine; 4.0 star rating; 16 reviews; Financial District; 30 Broad Street, New York, NY 10004; (212) 530-0630
Jordan Stern, MD; Ear Nose & Throat, Audiologist, Sleep Specialists; 4.0 star rating; 6 reviews; Financial District; 65 Broadway, New York, NY 10006; (212) 683-0174
Gary Stadtmauer MD; Allergists; 4.0 star rating; 11 reviews; Financial District; 39 Broadway, New York, NY 10006; (212) 809-1186
Trifecta Health Medical Center; Psychiatrists, Medical Centers, Weight Loss Centers; 5.0 star rating; 3 reviews; Financial District; 115 Broadway, New York, NY 10006; (212) 233-2830
Acupuncture By Jessica; Acupuncture; 5.0 star rating; 5 reviews; TriBeCa, Civic Center, Financial District; 222 E 31st St, New York, NY 10016; (347) 389-4947
Callen-Lorde Community Health Center; Medical Centers; 4.0 star rating; 73 reviews; Chelsea; 356 W 18th St, New York, NY 10011; (212) 271-7200
Chelsea Skin and Laser; Skin Care, Dermatologists, Cosmetic Surgeons; 4.5 star rating; 59 reviews; Chelsea; 245 W 19th St, New York, NY 10011; (212) 675-0549
Ken Voorhees, LCSW; Counseling & Mental Health; 5.0 star rating; 7 reviews; Chelsea; 235 W 18th St, Manhattan, NY 10011; (347) 831-1799
Chelsea Eye & Cosmetic Surgery Associates; Ophthalmologists, Cosmetic Surgeons, Laser Eye Surgery/Lasik; 4.0 star rating; 105 reviews; Chelsea; 157 W 19th St, New York, NY 10011; (212) 727-3717
Chelsea Dental Arts; General Dentistry; 5.0 star rating; 17 reviews; Chelsea; 363 West 23rd Street, New York, NY 10011; (212) 206-9977
Function First Physical Therapy; Physical Therapy; 4.5 star rating; 8 reviews; Chelsea; 119 W 23rd St, New York, NY 10011; (212) 691-4833
Blue Lotus Acupuncture Center; Acupuncture, Traditional Chinese Medicine, Massage Therapy; 5.0 star rating; 13 reviews; Chelsea; 119 W 23rd St, Manhattan, NY 10011; (212) 769-6445
Olo Acupuncture; Acupuncture, Traditional Chinese Medicine, Massage; 4.5 star rating; 90 reviews; Chelsea; 119 W 23rd St, New York, NY 10011; (212) 595-3432
SPEAR Physical Therapy; Physical Therapy, Massage Therapy; 5.0 star rating; 37 reviews; Chelsea; 269 W 16th St, New York, NY 10011; (646) 841-1411
F Squared Physical Therapy; Physical Therapy; 5.0 star rating; 23 reviews; Chelsea; 250 W 26 St, Manhattan, NY 10001; (212) 675-5650
CityMD - W14th Street; Doctors, Urgent Care; 4.5 star rating; 116 reviews; Greenwich Village; 14 West 14th St, New York, NY 10011; (212) 390-0558
New York Doctors Urgent Care; Urgent Care, Hospitals; 3.5 star rating; 82 reviews; Greenwich Village; 65 W 13th St, New York, NY 10011; (212) 414-2800
DR Walk In; Medical Centers; 3.5 star rating; 10 reviews; Union Square, East Village, Greenwich Village; 52 E 14 St, Manhattan, NY 10003; (888) 535-6963
Steve A Shoshany, DC; Chiropractors, Physical Therapy; 4.0 star rating; 35 reviews; Greenwich Village, NoHo; 632 Broadway, New York, NY 10012; (212) 645-8151
Mudgil Dermatology, PC; Dermatologists; 4.5 star rating; 27 reviews; Greenwich Village; 30 5th Ave, New York, NY 10011; (212) 228-2526
Samer Jaber, MD; Dermatologists, Cosmetic Surgeons; 5.0 star rating; 32 reviews; Greenwich Village; 18 Washington Square North, New York, NY 10011; (646) 854-6744
The YinOva Center; Acupuncture, Massage, Medical Centers; 5.0 star rating; 8 reviews; Greenwich Village; 74 E 11th St, New York, NY 10003; (212) 533-2255
Village Dental NYC; Cosmetic Dentists, General Dentistry; 4.5 star rating; 13 reviews; Union Square, East Village, Greenwich Village; 77 E 12th St, New York, NY 10009; (212) 674-2024
Empire Gate Medical Group; Internal Medicine, Medical Centers, Osteopathic Physicians; 3.0 star rating; 10 reviews; Harlem; 2381 Frederick Douglass Blvd, New York, NY 10027; (212) 866-4400
Five Seasons Healing; Acupuncture; 5.0 star rating; 6 reviews; Greenwich Village; 80 E 11th St, New York, NY 10003; (917) 538-5755
THRIVE Integrated Physical Therapy PC; Physical Therapy; 4.5 star rating; 10 reviews; Greenwich Village; 611 Broadway, New York, NY 10012; (212) 254-7750
W Dental; Oral Surgeons, General Dentistry; 5.0 star rating; 7 reviews; Harlem; 706 St. Nicholas Ave, New York, NY 10031; (212) 939-9399
Manhattanville Renaissance; Medical Centers; 5.0 star rating; 4 reviews; Harlem; 21 Old Broadway, corner of 126th St, New York, NY 10027; (212) 531-7200
Harlem Hospital Center; Hospitals; 2.0 star rating; 24 reviews; Harlem; 506 Lenox Ave, New York, NY 10037; (212) 939-1000
Innovative Therapy Solutions; Speech Therapists; 5.0 star rating; 3 reviews; Harlem; 2236 Adam Clayton Powell Blvd, New York, NY 10027; (646) 406-2765
Morningside Dental Care; General Dentistry, Cosmetic Dentists; 3.0 star rating; 19 reviews; Harlem; 527 Manhattan Ave, New York, NY 10027; (646) 685-8847
Mount Morris Park Dental; Dentists; 5.0 star rating; 12 reviews; Harlem; 62 W 120th St, Manhattan, NY 10027; (212) 289-5349
Harlem Chi Community Acupuncture; Acupuncture; 5.0 star rating; 2 reviews; Harlem; 360 W 125th St, Manhattan, NY 10027; (212) 280-7900
Hudson Speech-Language Pathology; Speech Therapists; 5.0 star rating; 1 review; Harlem; 163 St. Nicholas Ave, Manhattan, NY 10026; (347) 523-3364
Ward Franklin S MD; Doctors; 4.5 star rating; 3 reviews; Washington Heights, Inwood; 692 W 204th St, New York, NY 10034; (212) 942-3369
AMM Health Services, Inc.; Acupuncture; 0; 0; Washington Heights, Inwood; 336 Riverside Dr, New York, NY 10025; (212) 866-6316
Mount Sinai Urgent Care; Urgent Care; 5.0 star rating; 2 reviews; Inwood; 5030 Broadway, New York, NY 10034; (212) 604-6550
Dyckman Medical Care; Medical Centers; 1.5 star rating; 2 reviews; Washington Heights, Inwood; 177 Dyckman St, New York, NY 10040; (212) 567-7323
Muruga Raj, MD; Obstetricians & Gynecologists; 1.0 star rating; 4 reviews; Washington Heights, Inwood; 4915 Broadway, New York, NY 10034; (212) 543-2500
Luke Hamilton Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (917) 864-5058
Urgent Care Manhattan; Urgent Care, Family Practice; 4.5 star rating; 16 reviews; Gramercy; 176 3rd Ave, New York, NY 10003; (212) 420-0222
Valerio Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Gramercy; 305 2nd Ave, New York, NY 10003; (646) 842-0420
Tree of Life Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Sqare E, New York, NY 10003; (212) 533-1192
Pivotal Touch Bodywork; Massage Therapy; 5.0 star rating; 3 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, New York, NY 10003; (646) 346-9442
Samadhi; Acupuncture, Medical Spas; 4.5 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, Manhattan, NY 10003; (917) 657-4515
Samantha Story LAc; Acupuncture; 5.0 star rating; 4 reviews; Union Square, Gramercy, Flatiron; 41 Union Sq E, New York, NY 10003; (646) 436-8355
Joseph Manfredi, DDS; Orthodontists, Cosmetic Dentists, General Dentistry; 3.5 star rating; 5 reviews; Gramercy, Flatiron; 250 Park Ave S, Manhattan, NY 10003; (212) 995-8930
New York Eye and Ear Infirmary - Urgent Care ENT; Ear Nose & Throat; 2.0 star rating; 4 reviews; Gramercy, East Village; 310 E 14th St, New York, NY 10009; (212) 979-4192
Sujan Patel, MD; Allergists; 5.0 star rating; 1 review; Gramercy, East Village; 310 E 14th St, 6th Fl, New York, NY 10003; (646) 943-7931
CityMD - W57th Street; Doctors, Urgent Care; 4.5 star rating; 130 reviews; Hell's Kitchen, Midtown West; 315 West 57th St, New York, NY 10019; (212) 315-2330
MedRite Urgent Care; Urgent Care; 4.5 star rating; 39 reviews; Theater District, Hell's Kitchen, Midtown West; 330 W 42nd St, New York, NY 10036; (212) 695-4444
Minute; Laboratory Testing, Medical Centers; 4.5 star rating; 13 reviews; Hell's Kitchen, Midtown West; 241 W 57th St, New York, NY 10019; (866) 389-2727
Bliss Acupuncture Wellness; Acupuncture, Physical Therapy, Skin Care; 5.0 star rating; 11 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (212) 245-2122
LK advanced dentistry; Dentists; 5.0 star rating; 22 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (212) 600-5221
RestoreRehab Physical Therapy; Physical Therapy; 5.0 star rating; 14 reviews; Hell's Kitchen, Midtown West; 664 10th Ave, New York, NY 10036; (212) 245-5259
New Hope Fertility Center; Fertility; 3.5 star rating; 17 reviews; Hell's Kitchen, Midtown West; 4 Columbus Cir, Manhattan, NY 10019; (212) 517-7676
Pura Dermatology; Dermatologists; 4.5 star rating; 27 reviews; Hell's Kitchen, Midtown West; 446 W 38th St, New York, NY 10018; (646) 706-7747
Central Park Urology; Urologists; 4.0 star rating; 17 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (929) 256-5166
Fusion Spa; Skin Care, Day Spas, Reflexology; 4.5 star rating; 20 reviews; Hell's Kitchen, Midtown West; 315 W 57th St, New York, NY 10019; (212) 868-3308
NYU Clinic Cancer Center; Medical Centers; 4.0 star rating; 14 reviews; Midtown East, Murray Hill, Kips Bay; 160 E 34th St, New York, NY 10016; (212) 731-6000
Laser & Skin Surgery Center of NY; Dermatologists, Laser Hair Removal, Cosmetic Surgeons; 3.5 star rating; 16 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 686-7306
Bellevue Hospital; Hospitals, Midwives; 2.5 star rating; 98 reviews; Kips Bay, Stuyvesant Town; 462 1st Ave, New York, NY 10016; (212) 562-4141
New York University College of Dentistry; Dentists; 2.5 star rating; 63 reviews; Kips Bay, Stuyvesant Town; 345 E 24th St, New York, NY 10010; (212) 998-9800
Reflections Yoga; Yoga, Reflexology, Massage Therapy; 4.5 star rating; 10 reviews; Kips Bay; 227 E 24th St, New York, NY 10010; (212) 974-2288
Green Tea Acupuncture Wellness PC; Massage, Acupuncture; 5.0 star rating; 3 reviews; Kips Bay; 240 E 28 St, Manhattan, NY 10016; (212) 683-4048
New York Doctors Urgent Care; Urgent Care; 3.5 star rating; 16 reviews; Midtown East, Murray Hill, Kips Bay; 205 Lexington Ave, New York, NY 10016; (212) 684-4700
Joel M Solomon MD; Ophthalmologists; 4.0 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 614 2nd Ave, New York, NY 10016; (212) 689-5080
Wilfredo Talavera, MD; Internal Medicine, Pulmonologist, Diagnostic Services; 5.0 star rating; 4 reviews; Midtown East, Murray Hill, Kips Bay; 205 Lexington Ave, Manhattan, NY 10016; (212) 213-3073
David S Weiss, MD; Sports Medicine, Orthopedists; 3.5 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 263-7743
CityMD - West 23rd Street; Urgent Care; 4.0 star rating; 174 reviews; Flatiron; 37 W 23rd St, New York, NY 10010; (646) 596-9267
NYC Free; Medical Centers; 4.5 star rating; 3 reviews; Union Square, Flatiron; 16 E 16th St, New York, NY 10003; 
Sidney Hillman Family Practice; Family Practice; 2.5 star rating; 47 reviews; Union Square, Flatiron; 16 E 16th St, New York, NY 10003; (212) 206-5200
Tataway; Tattoo Removal, Skin Care; 5.0 star rating; 44 reviews; Flatiron; 381 Park Ave S, New York, NY 10016; (857) 284-4800
Joannie Wu, L.Ac.; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 9 reviews; Flatiron; 12 W 27th St, New York, NY 10001; (917) 740-4673
Andrea H Cornell, LMFT; Counseling & Mental Health; 5.0 star rating; 16 reviews; Union Square, Flatiron; 41 Union Sq W, New York, NY 10003; (917) 225-1401
Michael Dardano; Chiropractors, Nutritionists, Naturopathic/Holistic; 5.0 star rating; 19 reviews; Flatiron; 12 West 27th St, Manhattan, NY 10001; (917) 463-3764
The Center for Chiropractic & Decompression NYC; Chiropractors, Physical Therapy; 5.0 star rating; 10 reviews; Flatiron; 1201 Broadway, New York, NY 10001; (646) 770-0916
Brill Physical Therapy; Physical Therapy, Massage Therapy; 4.5 star rating; 17 reviews; Flatiron; Manhattan, NY 10010; (212) 325-0961
Luke Hamilton Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (917) 864-5058
Center Acupuncture; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 38 reviews; Koreatown, Midtown East; 303 5th Ave, New York, NY 10016; (917) 243-9110
Witch Pin Acupuncture & Herb; Acupuncture, Skin Care; 5.0 star rating; 6 reviews; Koreatown, Midtown West; 38W 32nd St, New York, NY 10001; (212) 760-7575
Empire State Hands-On Physical Therapy; Physical Therapy; 4.5 star rating; 13 reviews; Koreatown, Midtown East; 347 5th Ave, New York, NY 10016; (212) 725-3778
Sonam Acupuncture; Acupuncture; 5.0 star rating; 9 reviews; Koreatown, Midtown East; 303 5th Ave, New York, NY 10016; (646) 535-2810
Yen Gary MD; Chiropractors, Physical Therapy, Acupuncture; 5.0 star rating; 5 reviews; Koreatown, Midtown West; 38 W 32nd St, New York, NY 10001; (212) 868-0509
Fifth Avenue Acupuncture & Herbs Center; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 10 reviews; Koreatown, Midtown East; 347 5th Ave, New York, NY 10016; (212) 779-0468
Omnyc Acupuncture; Acupuncture, Massage, Allergists; 5.0 star rating; 1 review; Koreatown, Midtown West; 38 W 32nd St, New York, NY 10001; (212) 564-5953
Sex Therapy New York; Sex Therapists; 0; 0; Koreatown, Midtown East; 347 5th Ave, New York, NY 10016; (212) 689-7185
Stutman Gabrielle, PHD; Psychologists; 0; 0; Koreatown, Midtown East; 303 Fifth Ave, New York, NY 10016; (212) 254-7390
Integrated Wellness NYC; Acupuncture, Chiropractors, Medical Centers; 0; 0; Koreatown, Midtown West; 308 Fifth Avenue, New York, NY 10001; (212) 684-2121
New York Hearing Center; Audiologist, Hearing Aid Providers; 5.0 star rating; 8 reviews; Little Italy; 128 Mott St, Manhattan, NY 10013; (212) 966-3886
Dr.Darryl Wu DDS PC; General Dentistry; 2.5 star rating; 7 reviews; Little Italy, Chinatown; 41 Elizabeth St, New York, NY 10013; (212) 925-7757
Yaoshen Cai; Acupuncture; 5.0 star rating; 62 reviews; Little Italy, Chinatown; 118 Baxter St, New York, NY 10013; (646) 490-5033
Fishion Herb Center; Massage, Acupuncture, Reflexology; 4.0 star rating; 144 reviews; Little Italy, Chinatown; 107 Mott St, New York, NY 10013; (212) 966-8771
George Hall, MD; Internal Medicine; 1.5 star rating; 9 reviews; Little Italy; 217 Grand St, New York, NY 10013; (212) 965-1380
Yeung’s Dental PC; Dentists; 3.0 star rating; 13 reviews; Little Italy; 217 Grand St, New York, NY 10013; (212) 680-0573
Yolanda Tun Chiong, DO; Family Practice; 4.0 star rating; 11 reviews; Little Italy; 128 Mott St, Ste 202, Manhattan, NY 10013; (646) 355-3711
Ko Wilson MD; Doctors; 1.5 star rating; 2 reviews; Little Italy; 128 Mott St, New York, NY 10013; (212) 732-0073
Wu, MD; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 6 reviews; Little Italy, Chinatown; 118-122 Baxter St, Manhattan, NY 10013; (212) 226-8106
Chinatown Dialysis Center; Dialysis Clinics; 0; 0; Little Italy; 202 Centre St, New York, NY 10013; (212) 925-0404
Community Healthcare Network; Medical Centers; 2.0 star rating; 6 reviews; Lower East Side; 150 Essex St, New York, NY 10002; (212) 477-1120
Gouverneur Health; Medical Centers; 2.5 star rating; 6 reviews; Lower East Side, Two Bridges; 227 Madison St, New York, NY 10002; (212) 238-7897
Betances Health Center; Family Practice; 2.5 star rating; 3 reviews; Lower East Side; 280 Henry St, New York, NY 10002; (212) 227-8401
Iris Tsung, MD; Obstetricians & Gynecologists; 2.0 star rating; 3 reviews; Lower East Side; 246 Grand St, New York, NY 10002; (212) 334-9898
Essex Dental Center; General Dentistry; 3.5 star rating; 7 reviews; Lower East Side; 143 Essex St, New York, NY 10002; (212) 228-2999
Spinal Care of New York; Chiropractors; 5.0 star rating; 1 review; Lower East Side, Chinatown; 120 E Broadway, New York, NY 10002; (718) 577-8933
Grand Radiology; Medical Centers, Radiologists; 2.5 star rating; 10 reviews; Lower East Side; 132 Bowery, New York, NY 10013; (212) 925-9788
Kong DO Chinese; null; 0; 0; Lower East Side, Chinatown; 133 Canal St, New York, NY 10002; (212) 966-3922
Cure Urgent Care; Urgent Care; 5.0 star rating; 55 reviews; Manhattan Valley; 2689 Broadway, New York, NY 10025; (929) 279-4988
Aster Ob/Gyn; Obstetricians & Gynecologists, Diagnostic Imaging, Medical Centers; 4.5 star rating; 18 reviews; Manhattan Valley; 240 W 98th St, New York, NY 10025; (212) 662-6100
William F. Ryan Community Health Center; Medical Centers; 2.0 star rating; 12 reviews; Manhattan Valley; 110 W 97th St, New York, NY 10025; (212) 749-1820
Symmetry Medicine; Dermatologists; 5.0 star rating; 1 review; Manhattan Valley; 2689 Broadway, New York, NY 10025; (347) 480-9958
Patricia Escudero Rotman; Psychologists; 5.0 star rating; 2 reviews; Manhattan Valley; 400 Central Park W S, New York, NY 10025; (212) 749-5942
Telfeyan N Lael, PhD, LCSW; Counseling & Mental Health; 0; 0; Manhattan Valley; 140 W 97th St, New York, NY 10025; (212) 535-1789
Madeline Gleich, LCSW; Counseling & Mental Health; 0; 0; Manhattan Valley; 250 Riverside Dr, Manhattan, NY 10025; (212) 864-7369
Riverside Sexually Transmitted Disease; Medical Centers; 0; 0; Manhattan Valley; 160 W 100th St, New York, NY 10025; 
Ryan William F Community Health Center Annex; Medical Centers; 3.5 star rating; 3 reviews; Manhattan Valley; 160 W 100th St, New York, NY 10025; (212) 769-7200
Dana Crawford; Counseling & Mental Health; 0; 0; Upper West Side, Manhattan Valley; 323 W 96th St, New York, NY 10025; (347) 815-4569
One Medical Group; Internal Medicine, Acupuncture; 4.5 star rating; 25 reviews; Meatpacking District, West Village; 408 West 14th St, New York, NY 10014; (212) 530-0639
Nadege N. Coupet MD; Internal Medicine; 4.0 star rating; 6 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (646) 481-2687
Allison Fox, MD; Family Practice, Internal Medicine; 5.0 star rating; 3 reviews; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639
Charles Paolino, MD; Internal Medicine; 4.0 star rating; 26 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (646) 638-4000
Kathleen Mulligan, MD; Obstetricians & Gynecologists, Internal Medicine; 4.0 star rating; 40 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (212) 206-1610
Chelsea Village Medical Office; Sports Medicine; 4.5 star rating; 4 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (212) 929-9009
Labcorp; Medical Centers; 4.0 star rating; 15 reviews; Meatpacking District, West Village; 324 W 14th St, Manhattan, NY 10014; (212) 463-7390
Krisczar J Bungay, MD; Internal Medicine; 4.5 star rating; 31 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10044; (212) 620-0144
