1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
Bright Horizons Family Solutions; Child Care & Day Care, Preschools, Elementary Schools; 4.5 star rating; 2 reviews; Upper East Side; 435 E 70th St, New York, NY 10021; (212) 746-6543 
Bright Horizons at 200 Liberty Street; Child Care & Day Care, Preschools; 0; 0; Battery Park; 200 Liberty St, New York, NY 10281; (844) 262-3442 
Bright Horizons at 345 Adams Street; Child Care & Day Care, Preschools; 3.5 star rating; 4 reviews; Downtown Brooklyn; 345  Adams St, Brooklyn, NY 11201; (844) 262-3444 
Bright Horizons at Columbus Circle; Child Care & Day Care, Preschools; 0; 0; Hell's Kitchen, Midtown West; 910 9th Avenue, New York, NY 10019; (844) 262-3456 
Bright Horizons at Hudson Yards; Child Care & Day Care, Preschools; 0; 0; Chelsea, Midtown West; 529A W 29th St, New York City, NY 10001; (844) 259-1899 
Bright Horizons at Kent Avenue; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Williamsburg - North Side; 175 Kent Ave, Brooklyn, NY 11211; (844) 262-5523 
Bright Horizons at Long Island City; Child Care & Day Care, Preschools; 0; 0; Long Island City; 42-09 28th St, Long Island City, NY 11101; (844) 288-7264 
Bright Horizons at Tribeca; Child Care & Day Care, Preschools; 0; 0; TriBeCa; 129 Hudson St, New York City, NY 10013; (844) 259-3779 
Bright Stars Preschool; Child Care & Day Care; 0; 0; Canarsie; 1480 E 93rd St, Brooklyn, NY 11236; (718) 241-0762 
Brighter Babies; Preschools, Child Care & Day Care; 4.0 star rating; 6 reviews; Hunters Point, Long Island City; 5009 2nd St, Long Island City, NY 11101; (718) 786-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Bedford Stuyvesant; 844 DeKalb Ave, Brooklyn, NY 11221; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Brownsville; 58 Belmont Avenue, Brooklyn, NY 11212; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Claremont Village; 1465 Webster Avenue, Bronx, NY 10456; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Concourse; 1362 Jerome Avenue, Bronx, NY 10452; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Concourse; 2 Elliot Place, Bronx, NY 10452; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Flatbush; 685 Rogers Avenue, Brooklyn, NY 11226; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Greenwich Village; 1491 Broadway Avenue, Brooklyn, NY 11221; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Melrose; 770 St. Ann's Avenue, Bronx, NY 10455; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Morrisania; 1093 Southern Boulevard, Bronx, NY 10459; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Morrisania; 960 Intervale Avenue, Bronx, NY 10459; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; New Lots; 683 Barbey Street, Brooklyn, NY 11207; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 0; 0; Pelham Gardens; 2901 White Plains Road, Bronx, NY 10467; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 2.0 star rating; 1 review; Claremont Village; 1778 Southern Boulevard, Bronx, NY 10460; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 3.0 star rating; 1 review; East Flatbush; 4312 Church Avenue, Brooklyn, NY 11203; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Claremont Village; 1336 Louis Nine Boulevard, Bronx, NY 10459; (877) 868-2273 
Brightside Academy; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Edenwald; 3942 White Plains Road, Bronx, NY 10466; (877) 868-2273 
Brilliant Futures Daycare and PreSchool; Child Care & Day Care; 5.0 star rating; 2 reviews; Morris Park; 1842 Radcliff Ave, Bronx, NY 10462; (718) 502-9455 
British International School of New York; Elementary Schools, Middle Schools & High Schools, Preschools; 0; 0; Kips Bay, Stuyvesant Town; 20 Waterside Plz, New York, NY 10010; (212) 481-2700 
Bronx Organization For the Learning Disabled Preschool; null; 0; 0; Longwood; 758 Beck Street, Bronx, NY 10455; (718) 378-2267 
Brooklyn Beanstalk; Preschools, Language Schools; 5.0 star rating; 2 reviews; Flatbush, Ditmas Park; Brooklyn, NY; (347) 623-3694 
Brooklyn College Early Childhood Center; Preschools, Colleges & Universities; 5.0 star rating; 1 review; Flatbush; 2900 Bedford Ave, Flatbush - Ditmas Park, NY 11210;  
Brooklyn Forest; Kids Activities; 0; 0; Prospect Park; Ocean Ave & Lincoln Rd, Brooklyn, NY 11238; (710) 200-2036 
Brooklyn Free Space; Child Care & Day Care, Preschools; 0; 0; Park Slope; 298 6th Ave, Brooklyn, NY 11215; (718) 965-3135 
Brooklyn Kids Academy; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Crown Heights; 250 Utica Ave, Brooklyn, NY 11213; (718) 953-9011 
Brooklyn Kindergarten Society; Preschools; 0; 0; Downtown Brooklyn; 57 Willoughby St, Brooklyn, NY 11201; (718) 623-9803 
Brooklyn Preparatory Preschool; Preschools; 0; 0; Crown Heights; 1103 Carroll St, Brooklyn, NY 11225; (718) 576-6274 
Brooklyn Sandbox; Preschools; 3.0 star rating; 2 reviews; South Slope; 548 Sixth Ave, Brooklyn, NY 11215;  
Brooklyn Schoolhouse; Preschools; 0; 0; Clinton Hill; 156 Gates Ave, Brooklyn, NY 11238; (718) 395-5415 
Brooklyn Tots Academy; Preschools; 5.0 star rating; 1 review; Gravesend, Midwood; 2211 Coney Island Ave, Sheepshead Bay, NY 11223; (718) 375-2002 
Buckle My Shoe Learning Center; Preschools, Elementary Schools; 0; 0; TriBeCa; 40 Worth St, New York, NY 10013; (212) 374-1489 
Buckle My Shoe; Child Care & Day Care, Preschools, Elementary Schools, Specialty Schools; 0; 0; West Village; 230 W 13th St Frnt, New York, NY 10011; (212) 374-1489 
Building Blocks Play Group; Preschools; 0; 0; East Harlem; 1955 1st Ave, Manhattan, NY 10029; (212) 427-2019 
Building Bridges Preschool; Preschools; 5.0 star rating; 10 reviews; Brooklyn Heights; 250 Cadman Plz W, Brooklyn, NY 11201; (347) 334-6474 
Bumble Bee Daycare; Child Care & Day Care; 4.5 star rating; 8 reviews; Park Slope, Gowanus; 258 4th Ave, Brooklyn, NY 11215; (347) 422-0998 
Bumble Bees R Us; Child Care & Day Care; 0; 0; Flatbush; 2813 Farragut Rd, East Flatbush, NY 11210; (718) 434-2337 
BumbleBeesRus Educational Child Care Center; Preschools; 0; 0; Flatbush; 2813 Farragut Rd, East Flatbush, NY 11210; (718) 434-2336 
BumbleBeesRus Educational Child Care Center; Preschools; 0; 0; Silver Lake; 443 Targee St, Staten Island, NY 10304; (718) 727-2724 
Bumblebees R Us Park Slope; Preschools, Child Care & Day Care, Tutoring Centers; 0; 0; Park Slope; 501 8th St, Brooklyn, NY 11215; (718) 499-9800 
Bumblebees R Us Red Hook; Child Care & Day Care; 0; 0; Red Hook; 76 Lorraine St., Red Hook, NY 11231; (718) 858-8111 
Bumblebees; Preschools, Child Care & Day Care, Tutoring Centers; 0; 0; Borough Park; 4301 10th Avenue, Brooklyn, NY 11219; (718) 438-7040 
Bumblebeesrus Educational Child Care Center; Preschools, Child Care & Day Care; 0; 0; Park Slope; 501 8th St, Park Slope, NY 11215; (718) 499-9800 
Bumblebeesrus Educational Child Care Center; Preschools; 0; 0; Borough Park; 5721 6th Ave, Brooklyn, NY 11220; (718) 633-8828 
Bumblebeesrus Educational Child Care Center; Preschools; 0; 0; South Slope; 335 Prospect Ave, South Slope, NY 11215; (718) 676-0080 
Bunny Hill Daycare & Learning Center; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Bensonhurst; 8108 15th Ave, Brooklyn, NY 11228; (347) 778-5885 
Busy Hands Day Care, LLC; Child Care & Day Care; 0; 0; Westchester Square; 1412 Doris St, Bronx, NY 10462; (347) 810-6472 
Butterfly Daycare Center; Preschools; 0; 0; Marine Park, Midwood; 2810 Nostrand Ave, Brooklyn, NY 11229; (718) 677-9343 
CBI Academy Preschool; Preschools; 5.0 star rating; 1 review; Bay Terrace; 45 Twombly Ave, Staten Island, NY 10306; (718) 987-6200 
CCLC at 90 Park; Preschools, Child Care & Day Care; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 90 Park Ave, New York, NY 10016; (212) 661-1021 
Candy Kids Preschool; Child Care & Day Care; 0; 0; Flatbush; 3212 Church Ave, Brooklyn, NY 11226; (718) 287-6200 
Cann Stephen; Elementary Schools, Preschools; 0; 0; Marine Park; 4011 Fillmore Ave, Brooklyn, NY 11234; (718) 645-6291 
Carousel of Languages; Preschools, Language Schools, Private Tutors; 3.0 star rating; 8 reviews; Upper East Side; 1309 Madison Ave, Manhattan, NY 10128; (212) 501-8524 
Carrig Montessori School; Preschools; 5.0 star rating; 3 reviews; East Williamsburg; 100 Maspeth Ave, Brooklyn, NY 11211; (718) 388-1023 
Cathedral Pkwy Day Care Center; Elementary Schools, Preschools; 0; 0; Manhattan Valley; 424 W 110th St, New York, NY 10025; (212) 749-0291 
Cb.I Academy Preschool; null; 0; 0; Bay Terrace; 45 Twombly Ave, Staten Island, NY 10306; (718) 987-6200 
Center of Excellence; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; Rochdale; 127-08 Merrick Blvd, Jamaica, NY 11434; (718) 276-8200 
Central Queens Y; Gyms, Preschools; 2.5 star rating; 6 reviews; Forest Hills; 67-09 108th St, Forest Hills, NY 11375; (718) 395-9641 
Chabad City Gan; Preschools; 0; 0; Hunters Point, Long Island City; 10-11 49th Ave, Long Island City, NY 11101; (718) 609-0066 
Chabad Early Learning Center; Preschools; 0; 0; Manhattan Valley; 166 W 97th St, New York, NY 10025; (212) 864-5010 
Chabad Lubavitch of the Upper East Side; Adult Education, Synagogues, Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 419 E 77th St, New York, NY 10075; (212) 717-4613 
Chabad Neshama Center; Synagogues, Adult Education, Preschools; 0; 0; Brighton Beach; 2997 Ocean Pkwy, Brooklyn, NY 11235; (718) 946-9833 
Chai Tots Preschool; Preschools; 0; 0; Park Slope; 70 Prospect Park West, Brooklyn, NY 11215; (718) 499-0836 
Chai Tots; Child Care & Day Care, Preschools; 0; 0; Crown Heights; 852 Classon Ave, Brooklyn, NY 11238; (718) 399-3979 
Challenge Early Intervention Center; Preschools; 5.0 star rating; 1 review; New Springville; 1911 Richmond Ave, Staten Island, NY 10314; (718) 370-1596 
Chama Child Development Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Harlem; 218 W 147th Street, New York, NY 10039; (212) 368-4710 
Charles R. Drew Early Learning Center; Preschools; 0; 0; Queens Village; 109-45 207th St, Queens Village, NY 11429; (877) 753-7033 
Chelsea Day School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Koreatown, Midtown East; 319 5th Ave Fl 2, New York, NY 10016; (212) 675-8541 
ChiChi’s Daycare; Child Care & Day Care, Preschools; 0; 0; Richmond Hill; 85-23 101th St, Jamaica, NY 11418; (718) 846-4006 
Child Prodigy Learning Center; Child Care & Day Care; 4.0 star rating; 1 review; Bedford Stuyvesant, Bushwick; 1001 Broadway, Brooklyn, NY 11221; (718) 574-7558 
Childrens Aid Soc; Elementary Schools, Preschools; 0; 0; Washington Heights, Inwood; 3703 10th Ave, New York, NY 10034; (212) 567-5787 
Childrens Aid Society; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Washington Heights; 465 W 167th Street, New York, NY 10032; (212) 543-4440 
Childrens All Day School & Pre Nursery; Child Care & Day Care, Preschools; 0; 0; Upper East Side; 109 E 60th St, New York, NY 10022; (212) 752-4566 
Childrens Choice Family Services; Tutoring Centers, Preschools; 0; 0; Bedford Stuyvesant, Bushwick; 1009 Broadway, Brooklyn, NY 11221; (718) 240-2620 
Childrens Corner Day Care; Child Care & Day Care, Preschools; 0; 0; Flushing, Utopia; 173-19 69 AVENUE, Fresh Meadows, NY 11365; (718) 358-8926 
Childrens Day Treatment Cntr & Schl; Elementary Schools, Preschools; 0; 0; Upper West Side; 255 W 71st Street, New York, NY 10023; (212) 873-2280 
Children’s International Workshop; Preschools, Child Care & Day Care, Elementary Schools; 4.5 star rating; 6 reviews; Union Square, Flatiron; 17 E 16 St, Manhattan, NY 10003; (212) 691-8964 
Children’s Kingdom; Child Care & Day Care; 5.0 star rating; 1 review; Marine Park; 3315 Avenue I, Brooklyn, NY 11210; (718) 677-1315 
Chinatown Day Care Center; Child Care & Day Care; 5.0 star rating; 2 reviews; Chinatown; 35 Division Street, New York, NY 10002; (212) 431-3845 
Chinatown Planning Council Day Care Program; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Downtown Flushing, Flushing; 14230 Barclay Avenue, Flushing, NY 11355; (718) 358-7602 
Chochma Reishis; Preschools, Child Care & Day Care; 0; 0; Far Rockaway; 1045 Beach 9th St, Far Rockaway, NY 11691; (718) 868-2969 
Choice Scholars; Preschools, Summer Camps; 5.0 star rating; 1 review; Crown Heights; 1025 President St, Brooklyn, NY 11225; (718) 493-7981 
Choo Choo Train Project; Child Care & Day Care; 5.0 star rating; 4 reviews; Carroll Gardens; 539 Court St, Brooklyn, NY 11231; (718) 797-9050 
Christ Church Methodist Day School; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper East Side; 520 Park Avenue, New York, NY 10021; (212) 838-3039 
Church Street School for Music and Art; Musical Instruments & Teachers, Art Schools, Preschools; 5.0 star rating; 1 review; TriBeCa; 74 Warren St, New York, NY 10007; (212) 571-7290 
Church of the Epiphany Day School; Preschools; 0; 0; Yorkville, Upper East Side; 1393 York Ave, New York, NY 10021; (212) 737-2720 
