 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Accellent Dental; Dentists; 3.5 star rating; 10 reviews; Downtown Flushing, Flushing; 3907 Prince St, Flushing, NY 11354; (718) 463-5268 
Access Community Health Center; Medical Centers; 2.5 star rating; 5 reviews; Financial District; 83 Maiden Ln, New York, NY 10038; (212) 895-3410 
Accord Physicians Urology; Doctors, Medical Centers; 2.0 star rating; 3 reviews; Sheepshead Bay, Brighton Beach; 2632 E 14th St, Brooklyn, NY 11235; (718) 530-0383 
Acorn School Base ; null; 0; 0; Bedford Stuyvesant, Bushwick; 1396 Broadway, Brooklyn, NY 11221; (718) 443-2989 
Active Acupuncture; Acupuncture; 5.0 star rating; 11 reviews; Midtown West; 119 W 57th St, New York, NY 10019; (212) 974-2880 
Active Care Chiropractic & Natural Wellness Center; Chiropractors; 0; 0; Midtown East; 300 E 56th St, New York, NY 10022; (917) 557-7437 
Active Chiropractic Healthcare; Chiropractors; 4.5 star rating; 3 reviews; Flatiron; 36 E 23rd St, New York, NY 10010; (212) 673-2590 
ActiveCare Physical Therapy; Physical Therapy; 5.0 star rating; 20 reviews; Midtown West; 12 W 37th St, New York, NY 10018; (212) 777-4374 
Acts  Clinic  Trials Consulting; null; 0; 0; Astoria; 2465 38th St Apt 4A, Astoria, NY 11103; (718) 833-0509 
Acupuncture & Chinese Herbal Medicine; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Chelsea; 119 W 23rd St, New York, NY 10011; (347) 559-0037 
Acupuncture & Healing Arts of Park Slope; Acupuncture; 5.0 star rating; 3 reviews; Park Slope, Gowanus; 313 7th St, Brooklyn, NY 11215; (718) 965-9458 
Acupuncture ; null; 0; 0; Flushing, Auburndale; 16306 Northern Blvd, Flushing, NY 11358; (718) 353-6699 
Acupuncture By Jessica; Acupuncture; 5.0 star rating; 5 reviews; TriBeCa, Civic Center, Financial District; 222 E 31st St, New York, NY 10016; (347) 389-4947 
Acupuncture For All; Acupuncture; 5.0 star rating; 8 reviews; Astoria; 3258 30th St, Astoria, NY 11106; (917) 741-0010 
Acupuncture Health Center; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 11 reviews; Yorkville, Upper East Side; 330 E 85th St, New York, NY 10028; (212) 996-2988 
Acupuncture Herbs ; null; 0; 0; Fort Hamilton, Bay Ridge; 9003 5th Avenue, Brooklyn, NY 11209; (718) 238-2554 
Acupuncture My Way; Acupuncture; 5.0 star rating; 1 review; Midwood; 475 Sunrise Hwy, West Babylon, NY 11704; (631) 533-0055 
Acupuncture Williamsburg; Acupuncture, Naturopathic/Holistic; 5.0 star rating; 4 reviews; Williamsburg - North Side; 169 Wythe Ave #103, Brooklyn, NY 11211; (917) 446-9868 
Acupuncture and Herbs by Karen Vaughan, L.Ac; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Park Slope; 253 Garfield Pl, Brooklyn, NY 11215; (646) 604-9701 
Ada  Clinic  Mgmt Svcs; Chiropractors, Physical Therapy; 0; 0; Astoria; 29-16 23rd Ave, Astoria, NY 11105; (718) 458-0616 
Ada ; Chiropractors; 5.0 star rating; 1 review; Astoria; 29-16 23rd Ave, New York, NY 11105; (718) 458-0616 
Adam I Cohen DPT PC Physical Therapy & Sports Rehabilitation; Physical Therapy; 0; 0; Ozone Park; 131-24 Rockaway Blvd, South Ozone Park, NY 11420; (718) 659-7166 
Adam J Biec, LMHC; Psychologists; 0; 0; Midtown West; 19 W 34th St, New York, NY 10001; (347) 460-6570 
Adam Resnikoff, DPM; Podiatrists; 2.5 star rating; 4 reviews; Midtown East, Murray Hill, Kips Bay; 481 3rd Ave, New York, NY 10016; (212) 679-3338 
Adirondack Oral & Maxillofacial Surgery; Oral Surgeons; 5.0 star rating; 3 reviews; Rego Park; 95-25 Queens Blvd, Rego Park, NY 11374; (718) 997-6300 
Advanced Best Care Dental; General Dentistry, Cosmetic Dentists; 4.5 star rating; 11 reviews; Downtown Flushing, Flushing; 43-04 Main St, Flushing, NY 11355; (718) 888-2328 
Advanced Center For Psychotherapy; null; 1.0 star rating; 2 reviews; Jamaica; 17810 Wexford Ter, Jamaica, NY 11432; (718) 658-1123 
Advanced Colorectal Care; Medical Centers; 0; 0; Gravesend; 2647 Coney Island Ave, Brooklyn, NY 11223; (718) 743-4450 
Advanced Dental Arts; Pediatric Dentists, General Dentistry, Orthodontists; 4.5 star rating; 25 reviews; Midtown East; 686 Lexington Ave, New York, NY 10022; (212) 230-1226 
Advanced Dental Care of Riverdale- Daniel Faiwiszewski; General Dentistry; 5.0 star rating; 5 reviews; Riverdale; 3901 Independence Ave, Bronx, NY 10463; (718) 549-6453 
Advanced Dermatology Associates; Dermatologists; 2.5 star rating; 23 reviews; Midtown West; 200 Central Park S, New York, NY 10019; (212) 262-2500 
Advanced Fertility Services; Fertility; 1.5 star rating; 4 reviews; Yorkville, Upper East Side; 1625 3rd Ave, New York, NY 10128; (212) 369-8700 
Advanced Gynocology of NY; Obstetricians & Gynecologists; 1.0 star rating; 3 reviews; Midtown East; 461 Park Ave S, New York, NY 10016; (212) 473-6500 
Advanced Hypnosis Center NY; Weight Loss Centers, Hypnosis/Hypnotherapy; 5.0 star rating; 4 reviews; Upper East Side; 111 East 75th Street, New York, NY 10021; (212) 585-4430 
Advanced Medical Care - Brooklyn, NY; Doctors, Medical Centers; 0; 0; Midwood; 1725 East 12th Street, Brooklyn, NY 11229; (888) 273-3840 
Advanced Radiological Imaging Assocs PC; Doctors, Diagnostic Imaging; 2.5 star rating; 5 reviews; Elmhurst; 8940 56th Ave, Elmhurst, NY 11373; (718) 335-5532 
Advanced Radiological Imaging; Doctors; 2.0 star rating; 15 reviews; Astoria; 2916 Astoria Boulevard, Astoria, NY 11102; (718) 204-5801 
Advanced Sleep Care; Neurologist; 0; 0; Forest Hills; 6860 Austin St, Forest Hills, NY 11375; (866) 960-0434 
Advanced Urology PC; Doctors; 5.0 star rating; 1 review; Schuylerville; 3594 E Tremont Ave, Bronx, NY 10465; (718) 518-1044 
Advanced Urology PC; Internal Medicine; 1.5 star rating; 2 reviews; Gramercy; 201 E 19th St, Manhattan, NY 10003;  
Advanced Varicose Vein Treatments of Manhattan; Doctors, Medical Spas, Medical Centers; 4.5 star rating; 12 reviews; Financial District; 111 John St, New York, NY 10038; (212) 204-6501 
Advantage Care Physicians - Astoria; Medical Centers; 1.5 star rating; 4 reviews; Astoria; 31-75 23rd St, Astoria, NY 11106; (718) 956-2200 
Advantage Care Physicians - Kings Highway; Family Practice, Medical Centers; 4.0 star rating; 1 review; Midwood; 3245 Nostrand Ave, Sheepshead Bay, NY 11229;  
Advantage Medical Health Care; null; 1.0 star rating; 1 review; Downtown Flushing, Flushing; 13619 41st Avenue, Flushing, NY 11355; (718) 939-1200 
Affinity Health Care; null; 2.5 star rating; 2 reviews; Midtown East, Murray Hill, Kips Bay; 221 E 33rd Street, New York, NY 10016; (212) 576-9980 
Affinity Health Plan; Health & Medical, Community Service/Non-Profit, Insurance; 1.0 star rating; 1 review; Downtown Flushing, Flushing; 4146 Main Street, Flushing, NY 11355; (718) 886-2742 
Agho ; Family Practice, Pediatric Dentists; 0; 0; Parkchester; 71 Metropolitan Oval, Bronx, NY 10462; (718) 684-3344 
Agho ; Family Practice, Pediatricians; 1.5 star rating; 5 reviews; Theater District, Midtown West; 250 W 49th St, New York, NY 10019; (212) 245-0200 
Agho ; null; 1.0 star rating; 1 review; Parkchester; 1531 Metropolitan Avenue, Bronx, NY 10462; (718) 597-3111 
Ahdut Mordehai, DDS; General Dentistry, Cosmetic Dentists; 5.0 star rating; 1 review; Marine Park; 3222 Ave I, Brooklyn, NY 11210; (718) 258-8884 
Ahmad Syed MD; Doctors; 4.5 star rating; 2 reviews; Weeksville, Crown Heights; 1473 Sterling Place, Brooklyn, NY 11213; (718) 756-3939 
Aimee Raupp; Acupuncture; 0; 0; Flatiron; 928 Broadway, New York, NY 10010; (845) 988-6913 
Ainsworth Institute of Pain Management; Anesthesiologists, Medical Centers, Sports Medicine; 0; 0; Midtown East; 115 East 57th Street, New York, NY 10022; (212) 203-2813 
Akhavan Iraj MD; Doctors; 1.0 star rating; 3 reviews; Theater District, Hell's Kitchen, Midtown West; 315 W 50th St, New York, NY 10019; (212) 333-7661 
Alan David Frankel, DMD; Orthodontists; 2.0 star rating; 7 reviews; Upper West Side; 277 W End Ave, New York, NY 10023; (212) 877-7177 
Alan F Berdan, DMD, PC; Cosmetic Dentists, Periodontists, General Dentistry; 5.0 star rating; 2 reviews; Midtown West; 30 Central Park S, Manhattan, NY 10019; (212) 702-8675 
Alan H Jaslove, DDS; Oral Surgeons, General Dentistry; 4.5 star rating; 5 reviews; Upper East Side; 160 E 88th St, New York, NY 10128; (212) 722-5200 
Alan Jordan, MD; Optometrists, Ophthalmologists; 3.0 star rating; 6 reviews; Brooklyn Heights; 149 Pierrepont St, Brooklyn, NY 11201; (718) 834-1976 
Alan Manevitz, MD, Practice of Psychiatry; Psychiatrists, Counseling & Mental Health; 3.0 star rating; 4 reviews; Midtown East; 60 Sutton Place South, Suite 1CN, New York, NY 10022; (212) 751-5072 
Alan Shanel Psychotherapist; Counseling & Mental Health; 0; 0; Greenwich Village; 35 W 9th St, New York, NY 10011; (212) 673-0965 
Alan Teitelbaum, PC; Podiatrists; 5.0 star rating; 16 reviews; Yorkville, Upper East Side; 315 E 86th St, New York, NY 10028; (212) 369-9494 
Alban Acupuncture and Herbs ; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 14 reviews; Midtown East, Murray Hill; 124 E 40th St, New York, NY 10016; (212) 319-5757 
Albert Einstein-Weiler Hospital; Hospitals; 2.0 star rating; 11 reviews; Morris Park; 1825 Eastchester Rd, Bronx, NY 10461; (718) 904-2000 
Albert Joel MD Gastroenterology; Doctors; 3.5 star rating; 3 reviews; Fort Hamilton, Bay Ridge; 9707 4th Avenue, Brooklyn, NY 11209; (718) 833-3700 
Albert M Lefkovits, MD; Dermatologists, Cosmetic Surgeons; 5.0 star rating; 1 review; Upper East Side; 1040 Park Ave, New York, NY 10028; (212) 861-9600 
Aleksander Iofin, DMD; Endodontists; 5.0 star rating; 1 review; Midtown West; 45 Rockefeller Plz, Ste 1863, New York, NY 10111; (212) 757-1000 
Alexander Fish, DPM; Podiatrists, Sports Medicine; 0; 0; Theater District, Midtown West; 825 7th Ave, New York, NY 10019; (212) 757-7437 
Alexander Krishtul, MD; Family Practice, Urgent Care; 5.0 star rating; 1 review; Upper East Side; 1036 Park Ave, New York, NY 10028; (917) 040-0202 
Alexander Kulick, MD; Physical Therapy, Internal Medicine, Naturopathic/Holistic; 5.0 star rating; 3 reviews; Upper East Side; 112 E 61st St, New York, NY 10065; (212) 867-1777 
Alexander Schick,MD; Neurologist; 2.5 star rating; 19 reviews; Gramercy; 247 3rd Ave, New York, NY 10010; (212) 353-0505 
Alexander Technique; Physical Therapy; 5.0 star rating; 2 reviews; Midtown West; 150 E 94th St, New York, NY 10128; (646) 397-7376 
Alicia Diorio, LCSW; Counseling & Mental Health; 0; 0; Forest Hills; 40-45 75th St, New York, NY 11375; (718) 747-4374 
Alina K Stanciu, MD; Ophthalmologists, Laser Eye Surgery/Lasik; 1.0 star rating; 5 reviews; Forest Hills; 7025 Yellowstone Blvd, Forest Hills, NY 11375; (718) 793-3937 
Alisan B Goldfarb, MD; Oncologist, Internal Medicine; 5.0 star rating; 2 reviews; Upper East Side; 1185 Park Ave, New York, NY 10128; (212) 987-5000 
All American Smile Dental Studios; Cosmetic Dentists, Periodontists; 4.0 star rating; 6 reviews; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (212) 252-8893 
All Pets Veterinary Care Corp; Pet Stores, Veterinarians; 5.0 star rating; 29 reviews; Steinway; 21-79 Steinway St, Queens, NY 11105; (718) 956-7387 
All Seasons Orthopedics & Physical Therapy; Physical Therapy; 5.0 star rating; 1 review; Midtown East; 6 E 39th St, Manhattan, NY 10016; (212) 584-2610 
All Seasons Orthopedics and Sports Physical Therapy; Physical Therapy; 5.0 star rating; 1 review; Park Slope; 808 Union St, Brooklyn, NY 11215; (718) 398-8800 
Allen M Bressler, DDS PC; General Dentistry; 1.5 star rating; 4 reviews; Flatbush; 1532 Flatbush Ave, Brooklyn, NY 11210; (718) 434-5800 
Allergy & Asthma Care of Brooklyn; Allergists; 4.0 star rating; 22 reviews; Prospect Heights; 10 Plaza St E, Brooklyn, NY 11238; (347) 564-3211 
Allergy & Asthma Care of New York: Financial District Office; Allergists; 0; 0; Financial District; 150 Broadway, New York, NY 10038; (212) 260-6078 
Allergy & Asthma Care of New York: Gramery Park Office; Allergists; 5.0 star rating; 2 reviews; Flatiron; 381 Park Avenue South,, New York, NY 10016; (212) 260-6078 
Allergy & Asthma Care of New York: Midtown Office; Allergists; 0; 0; Midtown East; 425 Madison Ave, New York, NY 10017; (212) 260-6078 
Allergy & Asthma Care of New York: Upper East Side Office; Allergists; 0; 0; Upper East Side; 201 East 65th St, New York, NY 10065; (212) 260-6078 
Allergy and Asthma Care of New York; Allergists; 5.0 star rating; 2 reviews; SoHo; 77 Mercer St, New York, NY 10012; (212) 274-0800 
Allergy and Immunology On Madison; Allergists; 0; 0; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (646) 424-0400 
Allison Fox, MD; Family Practice, Internal Medicine; 5.0 star rating; 3 reviews; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639 
Allium Diagnostic Imaging; Diagnostic Imaging; 1.0 star rating; 2 reviews; Ridgewood; 345 St Nicholas Ave, New York, NY 11385; (718) 408-5000 
Allure Dental Specialists; Cosmetic Dentists, Periodontists; 5.0 star rating; 2 reviews; Greenwich Village; 39 5th Ave, New York, NY 10003; (646) 371-7125 
Allure Skincare & Laser Center; Medical Spas, Skin Care, Laser Hair Removal; 2.5 star rating; 18 reviews; Astoria; 33-04 31st Ave, Astoria, NY 11106; (718) 545-7711 
Alma Mesquita, FNP; Weight Loss Centers; 1.0 star rating; 4 reviews; Astoria; 2928 Ditmars Blvd, Astoria, NY 11105; (718) 545-1454 
Altchek Dermatology: Dr. Douglas Altchek, MD; Dermatologists; 0; 0; Upper East Side; 115 East 61st Street 9th Floor, New York, NY 10065; (212) 838-8430 
Alton O Barron, MD; Orthopedists; 5.0 star rating; 4 reviews; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-7590 
Alvear Dental Office; General Dentistry; 3.5 star rating; 3 reviews; Woodside; 5117 43rd Ave, Woodside, NY 11377; (718) 639-8932 
Always Your Choice; Health & Medical; 3.0 star rating; 2 reviews; Greenwich Village; 80 E 11th St, New York, NY 10003; (212) 677-1777 
Amanda Donis Therapeutic Massage; Massage Therapy; 5.0 star rating; 5 reviews; Chelsea; 250 W 26th St, New York, NY 10001; (917) 688-2435 
Amanda Oxenhorn, LCSW; Counseling & Mental Health; 5.0 star rating; 4 reviews; Flatiron; 928 Broadway, Manhattan, NY 10010;  
Ambulatory Surgery Center of Brooklyn; Doctors; 4.0 star rating; 1 review; Sunset Park; 313 43rd St, Brooklyn, NY 11232; (718) 768-1401 
Amen ; Counseling & Mental Health, Psychiatrists, Diagnostic Services; 1.5 star rating; 6 reviews; Midtown East; 16 E 40th St, Manhattan, NY 10016; (855) 978-9261 
American  Clinic  Service; Doctors; 0; 0; Upper West Side; 239 Central Park W, New York, NY 10024; (212) 769-8918 
American  Clinic  Service; null; 0; 0; Kingsbridge; 3125 Tibbett Ave, Bronx, NY 10463; (718) 549-0598 
American  Clinic  Services; Medical Centers; 0; 0; Midtown East, Murray Hill; 345 E 37th St, New York, NY 10016; (212) 972-0528 
American  Clinic  Services; null; 0; 0; Forest Hills; 6915 Yellowstone Boulevard, Forest Hills, NY 11375; (718) 793-2158 
American  Clinic  Services; null; 0; 0; Midtown East; 120 E 56th St, New York, NY 10022; (212) 230-1898 
American  Clinic  Services; null; 0; 0; Union Square, Greenwich Village; 80 5th Avenue, New York, NY 10011; (212) 414-8253 
American  Clinic  Services; null; 0; 0; Upper East Side; 201 E 65th Street, New York, NY 10021; (212) 753-9206 
American  Clinic  Services; null; 0; 0; Upper East Side; 654 Madison Avenue, New York, NY 10021; (212) 838-6544 
American  Clinic  Services; null; 0; 0; Yorkville, Upper East Side; 210 E 86th St, New York, NY 10028; (212) 327-3292 
American  Clinic  Services; null; 0; 0; Yorkville, Upper East Side; 60 E End Avenue, New York, NY 10028; (212) 794-0214 
American  Clinic  Svces; null; 0; 0; Gramercy; 305 2nd Ave, New York, NY 10003; (212) 253-2532 
American  Clinic  Svcs; Medical Centers; 0; 0; Midtown East, Murray Hill; 650 1st Avenue, New York, NY 10016; (212) 725-1013 
American  Clinic  Svcs; null; 0; 0; Forest Hills; 6915 Yellowstone Boulevard, Forest Hills, NY 11375; (718) 459-0207 
American  Clinic  Svcs; null; 0; 0; Union Square, Flatiron; 103 5th Avenue, New York, NY 10003; (212) 645-3757 
American Dental Arts; General Dentistry; 2.0 star rating; 11 reviews; Chelsea; 420 W 23rd St, New York, NY 10011; (212) 929-9200 
American Dental Center; General Dentistry; 1.5 star rating; 15 reviews; Chelsea, Midtown West; 241 W 30th St, New York, NY 10001; (917) 351-0200 
American Eyecare; Optometrists, Eyewear & Opticians; 4.0 star rating; 58 reviews; Astoria; 38-03 Broadway, Astoria, NY 11103; (718) 956-3000 
American Laser Skincare; Laser Hair Removal, Skin Care, Weight Loss Centers; 1.0 star rating; 1 review; Upper West Side; 2030 Broadway, New York, NY 10023; (877) 252-3965 
American Laser Skincare; Laser Hair Removal, Skin Care, Weight Loss Centers; 2.5 star rating; 16 reviews; Midtown West; 57 W. 58th St, New York, NY 10019; (877) 252-3965 
American Laser Skincare; Skin Care, Laser Hair Removal, Weight Loss Centers; 1.5 star rating; 3 reviews; Midtown East, Murray Hill; 161 Madison Avenue, New York, NY 10016; (877) 252-3965 
American Vision Care; Optometrists, Eyewear & Opticians; 4.0 star rating; 15 reviews; Forest Hills; 70-51 Austin St, Forest Hills, NY 11375; (718) 793-1200 
Amit Goswami, M.D. | Epic Pain Management; Doctors; 1.0 star rating; 1 review; Upper East Side; 115E 57th St, New York, NY 10022;  
Amory Novoselac MD; Oncologist; 3.5 star rating; 2 reviews; Upper East Side; 12 E 86th St, New York, NY 10028; (212) 861-6660 
Amy B Lewis, MD; Cosmetic Surgeons, Dermatologists; 2.5 star rating; 6 reviews; Upper East Side; 120 E 75th St, New York, NY 10021; (212) 288-6133 
Amy Bleyer, MD; Internal Medicine; 4.0 star rating; 22 reviews; Flatiron; 166 Fifth Ave, New York, NY 10010; (212) 210-6237 
Amy Lyn Thompson Acupuncture; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 2 reviews; Williamsburg - North Side; 315 Graham Ave, Brooklyn, NY 11211; (631) 935-3946 
Anapelli Hair ; Cosmetic Surgeons; 0; 0; Midtown West; 57 W 57th St, Manhattan, NY 10019; (877) 751-4246 
Anca Rosca, MD; Obstetricians & Gynecologists; 3.5 star rating; 11 reviews; Financial District; 170 William St, 1st Fl, New York, NY 10038; (212) 312-5747 
Andolino Orthodontics PC; Orthodontists; 3.5 star rating; 6 reviews; Midtown East; 41 E 57th St, New York, NY 10022; (212) 753-5575 
Andrea H Cornell, LMFT; Counseling & Mental Health; 5.0 star rating; 16 reviews; Union Square, Flatiron; 41 Union Sq W, New York, NY 10003; (917) 225-1401 
Andrea Olanescu, MD; Doctors; 1.5 star rating; 25 reviews; Astoria; 2322 30th Rd, Astoria, NY 11102; (718) 278-0888 
Andreas Boker, MD; Dermatologists; 4.5 star rating; 7 reviews; Theater District, Midtown West; 130 W 42 St, Manhattan, NY 10036; (646) 626-6509 
Andres San Martin, MD, PLLC; Counseling & Mental Health; 5.0 star rating; 1 review; Upper West Side; 30 W 86th St, New York, NY 10024; (212) 496-5818 
Andrew Kornstein, MD, FACS; Cosmetic Surgeons; 5.0 star rating; 6 reviews; Upper East Side; 1050 5th Ave, New York, NY 10028; (212) 987-1300 
Andrew L. Blank, M.D., F.A.C.S; Ear Nose & Throat; 3.5 star rating; 6 reviews; Bayside; 21033 26th Ave, Bayside, NY 11360; (718) 631-8899 
Anelise Engel, MD; Weight Loss Centers; 5.0 star rating; 1 review; Hell's Kitchen, Midtown West; 355 W 52nd St., 3rd Floor, New York, NY 10019; (646) 754-2100 
Angela P Abernathy, DDS; Cosmetic Dentists, General Dentistry; 5.0 star rating; 7 reviews; Midtown East; 141 Dental Studio, New York, NY 10022; (646) 291-2709 
Animal  Clinic  of Northern Blvd; Veterinarians; 1.0 star rating; 1 review; North Corona; 10215 Northern Blvd, Corona, NY 11368; (718) 806-1700 
Ann Lang Associates; Physical Therapy, Occupational Therapy; 5.0 star rating; 2 reviews; Upper West Side; 263 West End Ave, New York, NY 10023; (212) 787-6585 
Ann Reibel- Coyne, L.Ac.; Acupuncture; 0; 0; Crown Heights; 367 St Marks Ave, Brooklyn, NY 11238; (347) 461-2028 
